暢銷排名,書名,定價,售價,詳細介紹連結
1,台灣金融發展史話DVD,1500,1350,http://service.tabf.org.tw/FBS/SinglePage.aspx?ProductID=30118
2,台灣金融發展史話VCD,1200,1080,http://service.tabf.org.tw/FBS/SinglePage.aspx?ProductID=30119
3,台灣金融發展史話DVD英文精華版,300,270,http://service.tabf.org.tw/FBS/SinglePage.aspx?ProductID=30120
4,金融探索之旅DVD,1500,1350,http://service.tabf.org.tw/FBS/SinglePage.aspx?ProductID=30121
5,不動產估價相關法規,500,450,http://service.tabf.org.tw/FBS/SinglePage.aspx?ProductID=30176
6,不動產估價理論方法與案例分析,550,495,http://service.tabf.org.tw/FBS/SinglePage.aspx?ProductID=30177
7,動產暨有價證券鑑價,250,225,http://service.tabf.org.tw/FBS/SinglePage.aspx?ProductID=30178
8,國際金融稽核師研習指南 (第二冊),1200,1080,http://service.tabf.org.tw/FBS/SinglePage.aspx?ProductID=30182
9,The Laws and Regulations of Bank Internal Control (2022),620,558,http://service.tabf.org.tw/FBS/SinglePage.aspx?ProductID=30185
10,銀行法法令彙編,800,720,http://service.tabf.org.tw/FBS/SinglePage.aspx?ProductID=30241
