日期,臺灣加權指數,美國道瓊工業指數,美國NASDAQ指數,日本日經225,倫敦金融時報,香港恆生指數,韓國綜合指數,新加坡海峽時報,上海綜合指數
87年8月,6550.11,7539.07,-,14107.89,5249.4,7275.04,310.16,885.26,-
87年9月,6833.95,7842.62,-,13406.39,5064.4,7883.46,310.32,939.65,-
87年10月,7165.98,8592.1,-,13564.51,5438.4,10154.94,403.44,1204.62,-
87年11月,7177.22,9116.55,-,14883.7,5743.9,10402.32,451.88,1416.55,-
87年12月,6418.43,9181.43,-,13842.17,5882.6,10048.58,562.46,1392.73,-
88年1月,5998.32,9358.83,-,14499.25,5896,9506.9,571.43,1428.14,-
88年2月,6318.52,9306.58,-,14367.5,6175.1,9858.49,520.06,1411.91,-
88年3月,6881.72,9786.16,-,15836.59,6295.3,10942.2,618.98,1518.31,-
88年4月,7371.17,10789.04,-,16701.53,6552.2,13333.2,752.59,1886.19,-
88年5月,7316.57,10559.74,-,16111.65,6226.2,12147.12,736.02,1903.86,-
88年6月,8467.37,10970.8,-,17529.74,6318.5,13532.14,883,2167.7,-
88年7月,7326.75,10655.15,-,17861.86,6231.9,13186.86,969.72,2145.77,-
88年8月,8157.73,10829.28,-,17436.56,6246.4,13482.77,937.88,2117.17,-
88年9月,7598.79,10336.95,-,17605.46,6029.8,12733.24,836.18,2021.93,-
88年10月,7854.85,10729.86,-,17942.08,6255.7,13256.95,833.51,2047.15,-
88年11月,7720.87,10877.81,-,18558.23,6597.2,15377.19,996.66,2237.13,-
88年12月,8448.84,11497.12,-,18934.34,6930.2,16962.1,1028.07,2479.58,-
89年1月,9744.89,10940.53,-,19539.7,6268.5,15532.34,943.88,2230.28,-
89年2月,9435.94,10128.31,-,19959.52,6232.6,17169.44,828.38,2120.5,-
89年3月,9854.95,10921.92,-,20337.32,6540.2,17406.54,860.94,2132.59,-
89年4月,8777.35,10733.91,-,17973.7,6327.4,15519.3,725.39,2164.11,-
89年5月,8939.52,10522.33,-,16332.45,6359.3,14713.86,731.88,1795.13,-
89年6月,8265.09,10447.89,-,17411.05,6312.7,16155.78,821.22,2037.97,-
89年7月,8114.92,10521.98,-,15727.49,6365.3,16840.98,705.97,2051.21,-
89年8月,7616.98,11215.1,-,16861.26,6672.7,17097.51,688.62,2147.77,-
89年9月,6185.14,10650.93,-,15747.26,6294.2,15648.98,613.22,1997.03,-
89年10月,5544.18,10971.14,-,14539.6,6438.4,14895.34,514.48,1976.54,-
89年11月,5256.93,10414.49,-,14648.51,6142.2,13984.39,509.23,1952.23,-
