統計期,金融業拆款,商業本票-初級市場-30天,商業本票-初級市場-31-90天,商業本票-初級市場-91-180天,商業本票-次級市場-1-30天,商業本票-次級市場-31-90天,商業本票-次級市場-91-180天,可轉讓定期存單-次級市場-1-90天,可轉讓定期存單-次級市場-9-180天,銀行承兌匯票-次級市場-1-30天,銀行承兌匯票-次級市場-31-90天,銀行承兌匯票-次級市場-91-180天,國庫券-初級市場-1-91天,國庫券-初級市場-92-182天,國庫券-初級市場-183-364天,公債附條件交易利率-次級市場-1-30天,公債附條件交易利率-次級市場-31-90天,公債附條件交易利率-次級市場-91-180天,政府公債-3年期,政府公債-5年期,政府公債-7年期,政府公債-10年期,政府公債-15年期,公司債-1年期,公司債-2年期,公司債-3年期,公司債-4年期,公司債-5年期,公司債-6年期,公司債-7年期,公司債-10年期,金融債券-2年期,金融債券-3年期,金融債券-5年期,央行單券-CDs1年期,央行單券-CDs2年期,央行單券-SB 1年期
86年,6.845,7.05,7,6.92,6.85,6.83,6.84,6.83,6.81,6.81,6.77,6.83,6.88,6.893,NaN,NaN,NaN,NaN,NaN,6.13,NaN,6.41,6.5,NaN,7.45,7.17,6.87,6.79,6.64,6.72,NaN,5.99,6.06,6.15,NaN,NaN,NaN
86年1月,5.653,6.06,6.17,5.74,5.57,5.9,5.7,5.73,5.68,5.57,5.86,5.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.27,NaN,6.95,6.67,NaN,6.55,NaN,NaN,NaN,NaN,5.7,NaN,NaN,NaN,NaN
86年2月,6.66,6.57,6.28,5.86,6.69,6.32,5.85,6.38,5.85,6.58,6.23,5.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.75,6.9,6.79,NaN,6.65,NaN,5.5,5.6,NaN,NaN,NaN,NaN
86年3月,6.188,6.36,6.38,6.46,6.14,6.18,6.29,6.15,6.19,6.1,6.16,6.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.34,NaN,7.5,7.2,NaN,6.99,6.65,6.83,NaN,NaN,5.8,NaN,NaN,NaN,NaN
86年4月,6.562,6.6,6.58,6.51,6.48,6.46,6.5,6.51,6.42,6.42,6.5,6.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.8,6.94,NaN,6.81,NaN,NaN,NaN,NaN,5.89,NaN,NaN,NaN,NaN
86年5月,5.663,5.76,5.9,6.01,5.74,5.8,5.95,5.78,5.97,5.73,5.61,5.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.33,NaN,NaN,NaN,7.48,6.84,5.26,6.89,NaN,NaN,5.97,5.9,NaN,NaN,NaN,NaN
86年6月,7.208,6.81,6.21,6.08,6.99,6.55,6.2,6.75,6.24,6.94,6.18,6.15,NaN,5.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.17,NaN,6.57,NaN,NaN,NaN,5.8,6.09,6.15,NaN,NaN,NaN
86年7月,7.107,7.16,7.19,6.92,6.95,6.85,6.8,7.06,6.68,6.98,6.92,6.84,6.88,7.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9,NaN,7.23,NaN,NaN,NaN,NaN,6.06,NaN,NaN,NaN,NaN
86年8月,8.112,8.28,7.96,7.6,7.9,7.62,7.45,7.84,7.39,7.85,7.56,7.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8,NaN,6.53,6.64,6.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86年9月,7.555,8.05,7.96,8.02,7.84,7.79,7.82,7.68,7.79,7.84,7.77,7.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.44,NaN,NaN,6.9,NaN,NaN,7.6,NaN,NaN,NaN,6.22,NaN,NaN,NaN,NaN,NaN
86年10月,7.816,8.11,7.87,7.86,7.86,7.59,7.77,7.69,7.82,7.68,7.57,7.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97,NaN,NaN,NaN,NaN,NaN,6.25,6.4,NaN,NaN,NaN,NaN
