,布絏,ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
0,2303,2018/10/1 00:00,12175097,193999689,16,16,15.85,15.9,-0.25,3456
1,2303,2018/10/2 00:00,15619834,244671183,15.85,15.95,15.6,15.6,-0.3,4554
2,2303,2018/10/3 00:00,17982464,279911223,15.6,15.7,15.45,15.5,-0.1,3458
3,2303,2018/10/4 00:00,48764973,738879008,15.4,15.45,15.05,15.1,-0.4,9745
4,2303,2018/10/5 00:00,57497812,852831993,15,15.1,14.6,14.7,-0.4,7641
5,2303,2018/10/8 00:00,21627076,319786337,14.65,14.85,14.65,14.8,0.1,6127
6,2303,2018/10/9 00:00,48875474,713342774,14.8,14.85,14.3,14.8,0,8509
7,2303,2018/10/11 00:00,121302857,1688203925,14,14.25,13.65,13.75,-1.05,16685
8,2303,2018/10/12 00:00,101810423,1405061405,13.65,14.05,13.65,13.65,-0.1,11686
9,2303,2018/10/15 00:00,66024262,889714224,13.55,13.65,13.35,13.35,-0.3,8212
10,2303,2018/10/16 00:00,66044473,874687813,13.35,13.5,13.1,13.2,-0.15,9392
11,2303,2018/10/17 00:00,50915558,686573470,13.45,13.6,13.35,13.6,0.4,9006
12,2303,2018/10/18 00:00,48154621,645257997,13.6,13.65,13.2,13.25,-0.35,8836
13,2303,2018/10/19 00:00,94342012,1247493741,13.1,13.45,13,13.3,0.05,9937
14,2303,2018/10/22 00:00,55534145,727213172,13.2,13.2,13,13.1,-0.2,8509
15,2303,2018/10/23 00:00,47902377,614818394,13.05,13.05,12.7,12.75,-0.35,9560
16,2303,2018/10/24 00:00,63429485,808177601,12.75,13,12.5,12.65,-0.1,11200
17,2303,2018/10/25 00:00,75059655,906667257,11.9,12.4,11.85,12.3,-0.35,10180
18,2303,2018/10/26 00:00,135893463,1602308416,12,12.05,11.6,11.7,-0.6,21177
19,2303,2018/10/29 00:00,60307053,702358341,11.5,11.8,11.5,11.6,-0.1,7390
20,2303,2018/10/30 00:00,81090087,946511891,11.6,11.95,11.45,11.7,0.1,8368
21,2303,2018/10/31 00:00,89427728,1053046878,11.85,11.85,11.65,11.8,0.1,9098
22,2303,2018/11/1 00:00,71162864,847650518,11.7,12.05,11.65,11.95,0.15,8617
23,2303,2018/11/2 00:00,71540356,842854543,11.8,11.9,11.6,11.9,-0.05,9752
24,2303,2018/11/5 00:00,236453269,2577879611,10.75,11.2,10.75,10.75,-1.15,27947
25,2303,2018/11/6 00:00,211878828,2323052883,11.05,11.2,10.75,10.9,0.15,21705
26,2303,2018/11/7 00:00,108859652,1191349143,11,11.1,10.8,10.95,0.05,11305
27,2303,2018/11/8 00:00,154165512,1670155772,11,11,10.65,10.85,-0.1,17010
28,2303,2018/11/9 00:00,118601055,1257888917,10.8,10.85,10.5,10.6,-0.25,13071
29,2303,2018/11/12 00:00,93985885,995718526,10.55,10.7,10.45,10.7,0.1,10299
30,2303,2018/11/13 00:00,118463337,1243693834,10.5,10.6,10.4,10.45,-0.25,12585
31,2303,2018/11/14 00:00,78000233,833959210,10.5,10.85,10.45,10.8,0.35,12442
32,2303,2018/11/15 00:00,88478611,976626908,10.9,11.25,10.85,11.2,0.4,14102
33,2303,2018/11/16 00:00,88373588,977064818,11.3,11.3,10.9,11,-0.2,12994
34,2303,2018/11/19 00:00,51529509,567253295,10.95,11.1,10.85,11.1,0.1,7011
35,2303,2018/11/20 00:00,35297856,388682966,11,11.1,10.9,11,-0.1,5357
36,2303,2018/11/21 00:00,30692619,338782409,10.95,11.15,10.9,11,0,6031
37,2303,2018/11/22 00:00,39139506,436228590,11.05,11.2,11,11.2,0.2,5367
38,2303,2018/11/23 00:00,29624385,330855795,11.2,11.25,11.05,11.15,-0.05,4696
39,2303,2018/11/26 00:00,42897802,491253112,11.2,11.55,11.2,11.5,0.35,7112
40,2303,2018/11/27 00:00,49199712,571059537,11.55,11.8,11.4,11.75,0.25,7855
41,2303,2018/11/28 00:00,54350180,637612329,11.75,11.85,11.6,11.75,0,9102
42,2303,2018/11/29 00:00,51312633,600826442,11.85,11.85,11.5,11.5,-0.25,6969
43,2303,2018/11/30 00:00,122685538,1418019614,11.55,11.7,11.4,11.55,0.05,7084
44,2303,2018/12/3 00:00,69986070,824034669,11.7,11.85,11.7,11.7,0.15,7436
45,2303,2018/12/4 00:00,57135658,675530735,11.75,11.9,11.7,11.8,0.1,6007
46,2303,2018/12/5 00:00,37958349,441717053,11.65,11.7,11.5,11.55,-0.25,5641
47,2303,2018/12/6 00:00,53465490,605960401,11.55,11.55,11.2,11.3,-0.25,12222
48,2303,2018/12/7 00:00,41314094,463444675,11.3,11.35,11.1,11.2,-0.1,7583
49,2303,2018/12/10 00:00,29147847,323977428,11.1,11.2,11.05,11.1,-0.1,4648
50,2303,2018/12/11 00:00,43093155,474654555,11,11.1,10.9,11,-0.1,6014
51,2303,2018/12/12 00:00,41642151,467632645,11.1,11.4,11,11.3,0.3,6876
52,2303,2018/12/13 00:00,60680361,696251855,11.35,11.55,11.35,11.5,0.2,6458
53,2303,2018/12/14 00:00,43980055,499532299,11.4,11.5,11.25,11.35,-0.15,4942
54,2303,2018/12/17 00:00,47487219,543439856,11.4,11.55,11.35,11.4,0.05,5042
55,2303,2018/12/18 00:00,44070825,496266621,11.3,11.35,11.2,11.2,-0.2,4439
56,2303,2018/12/19 00:00,59388708,672387283,11.25,11.45,11.2,11.3,0.1,6951
57,2303,2018/12/20 00:00,41050768,466684017,11.25,11.45,11.2,11.3,0,5902
58,2303,2018/12/21 00:00,63593203,723813575,11.3,11.45,11.25,11.4,0.1,5335
59,2303,2018/12/22 00:00,14652449,165468829,11.35,11.4,11.2,11.25,-0.15,2888
60,2303,2018/12/24 00:00,25863419,291347364,11.3,11.35,11.15,11.2,-0.05,3829
61,2303,2018/12/25 00:00,11846569,131923518,11.1,11.2,11.05,11.15,-0.05,3109
62,2303,2018/12/26 00:00,12700965,142239327,11.2,11.25,11.15,11.2,0.05,3078
63,2303,2018/12/27 00:00,20757329,233929452,11.35,11.4,11.2,11.25,0.05,4446
64,2303,2018/12/28 00:00,17480997,196782538,11.25,11.3,11.2,11.25,0,1958
65,2303,2019/1/2 00:00,18798696,210286552,11.3,11.35,11.1,11.1,-0.15,3496
66,2303,2019/1/3 00:00,49252981,535016316,11.1,11.1,10.75,10.9,-0.2,7582
67,2303,2019/1/4 00:00,43041214,459379450,10.7,10.75,10.55,10.7,-0.2,7223
68,2303,2019/1/7 00:00,32910190,360425491,10.9,11.05,10.8,11,0.3,5249
69,2303,2019/1/8 00:00,29489466,324355757,11.1,11.1,10.9,10.95,-0.05,3114
70,2303,2019/1/9 00:00,38339175,425537702,11.1,11.15,11.05,11.1,0.15,8103
71,2303,2019/1/10 00:00,35341057,392482107,11.15,11.15,11.05,11.15,0.05,3368
72,2303,2019/1/11 00:00,23328976,260393153,11.15,11.2,11.1,11.2,0.05,3488
73,2303,2019/1/14 00:00,25189695,280859004,11.2,11.25,11.05,11.1,-0.1,3397
74,2303,2019/1/15 00:00,34809977,390382361,11.2,11.3,11.1,11.25,0.15,3347
75,2303,2019/1/16 00:00,30906563,347881201,11.25,11.35,11.15,11.3,0.05,4638
76,2303,2019/1/17 00:00,45217607,509298300,11.35,11.4,11.2,11.25,-0.05,4002
77,2303,2019/1/18 00:00,30066230,341349429,11.35,11.4,11.25,11.4,0.15,4295
78,2303,2019/1/21 00:00,60585046,706037267,11.5,11.75,11.45,11.7,0.3,7203
79,2303,2019/1/22 00:00,19850996,232134545,11.7,11.75,11.65,11.7,0,3227
80,2303,2019/1/23 00:00,9871702,114245346,11.65,11.65,11.55,11.55,-0.15,2195
81,2303,2019/1/24 00:00,13008945,151720509,11.6,11.7,11.6,11.7,0.15,3217
82,2303,2019/1/25 00:00,43907148,520457627,11.8,11.95,11.75,11.95,0.25,6406
83,2303,2019/1/28 00:00,34489190,408040426,11.95,11.95,11.75,11.85,-0.1,6934
84,2303,2019/1/29 00:00,37926129,451384558,11.8,12,11.7,12,0.15,5329
85,2303,2019/1/30 00:00,95570714,1085251352,11.4,11.5,11.25,11.35,-0.65,12990
86,2303,2019/2/11 00:00,82010464,898957189,11.4,11.4,10.8,10.85,-0.5,16315
87,2303,2019/2/12 00:00,70690509,773582481,10.85,11.15,10.8,11.1,0.25,8990
88,2303,2019/2/13 00:00,70000805,775463434,11.2,11.2,11,11.1,0,8251
89,2303,2019/2/14 00:00,26940217,303091944,11.15,11.3,11.1,11.3,0.2,6507
90,2303,2019/2/15 00:00,33217732,377304779,11.25,11.4,11.2,11.4,0.1,7176
91,2303,2019/2/18 00:00,23733780,272701214,11.5,11.55,11.45,11.45,0.05,5872
92,2303,2019/2/19 00:00,20956991,239831481,11.45,11.5,11.4,11.45,0,4191
93,2303,2019/2/20 00:00,23211874,264719795,11.45,11.45,11.35,11.4,-0.05,4582
94,2303,2019/2/21 00:00,33906945,388107905,11.45,11.5,11.35,11.45,0.05,4032
95,2303,2019/2/22 00:00,39409802,450199426,11.45,11.5,11.3,11.5,0.05,4055
96,2303,2019/2/25 00:00,58222707,676982499,11.55,11.7,11.5,11.65,0.15,7103
97,2303,2019/2/26 00:00,31765810,370786256,11.65,11.75,11.6,11.65,0,6070
98,2303,2019/2/27 00:00,65102102,745953699,11.65,11.65,11.35,11.45,-0.2,6713
99,2303,2019/3/4 00:00,27904777,318872078,11.35,11.6,11.3,11.45,0,5426
100,2303,2019/3/5 00:00,22504875,259679443,11.4,11.6,11.4,11.6,0.15,5126
101,2303,2019/3/6 00:00,20169922,235706314,11.55,11.75,11.55,11.7,0.1,5249
102,2303,2019/3/7 00:00,58798424,698788940,11.75,12,11.75,11.85,0.15,8703
103,2303,2019/3/8 00:00,26782759,312377109,11.85,11.85,11.6,11.6,-0.25,4846
104,2303,2019/3/11 00:00,40281218,462464481,11.55,11.6,11.4,11.45,-0.15,5794
105,2303,2019/3/12 00:00,15935867,185095833,11.55,11.65,11.55,11.65,0.2,3470
106,2303,2019/3/13 00:00,14050087,162211840,11.65,11.65,11.5,11.55,-0.1,3379
107,2303,2019/3/14 00:00,17760239,204015871,11.55,11.6,11.45,11.45,-0.1,3712
108,2303,2019/3/15 00:00,28892091,335307721,11.45,11.65,11.45,11.65,0.2,3221
109,2303,2019/3/18 00:00,23859888,277645999,11.55,11.7,11.55,11.7,0.05,4625
110,2303,2019/3/19 00:00,33532816,392324055,11.7,11.75,11.65,11.7,0,3782
111,2303,2019/3/20 00:00,19746543,229154777,11.65,11.7,11.55,11.55,-0.15,3755
112,2303,2019/3/21 00:00,27175505,315689019,11.6,11.7,11.55,11.6,0.05,5885
113,2303,2019/3/22 00:00,32719568,382995551,11.65,11.8,11.65,11.8,0.2,4660
