,ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
0,102/01/02,"2,896,765","2,351,994,480",790,832,785,832,54,"2,409"
1,102/01/03,"2,278,777","1,898,138,248",836,844,824,824,-8,"2,048"
2,102/01/04,"1,908,685","1,542,840,015",824,825,791,802,-22,"1,707"
3,102/01/07,"3,777,648","2,874,848,056",802,802,746,746,-56,"3,127"
4,102/01/08,"3,475,195","2,544,618,640",740,744,723,738,-8,"3,074"
5,102/01/09,"2,072,930","1,550,589,940",738,757,738,742,4,"1,887"
6,102/01/10,"1,517,566","1,124,075,670",750,751,730,730,-12,"1,385"
7,102/01/11,"1,512,115","1,127,137,170",742,752,737,748,18,"1,386"
8,102/01/14,"2,512,023","1,820,109,951",731,740,715,723,-25,"2,254"
9,102/01/15,"2,781,249","2,021,629,770",717,740,715,725,2,"2,410"
10,102/01/16,"2,054,534","1,504,143,024",725,742,717,734,9,"1,887"
11,102/01/17,"2,489,881","1,825,406,130",742,748,719,719,-15,"2,075"
12,102/01/18,"1,689,409","1,222,291,570",729,731,717,725,6,"1,434"
13,102/01/21,"2,050,383","1,512,445,420",726,745,726,734,9,"1,792"
14,102/01/22,"1,611,623","1,187,269,774",745,745,731,734,0,"1,394"
15,102/01/23,"2,591,542","1,880,287,370",734,737,716,735,1,"2,096"
16,102/01/24,"5,168,070","3,797,083,500",715,750,705,750,15,"4,300"
17,102/01/25,"2,056,180","1,524,099,740",741,749,733,742,-8,"1,753"
18,102/01/28,"2,229,790","1,663,106,500",743,751,740,745,3,"1,580"
19,102/01/29,"4,585,859","3,575,971,623",753,797,750,797,52,"3,892"
20,102/01/30,"2,697,936","2,141,754,952",800,805,782,782,-15,"2,422"
21,102/01/31,"2,221,735","1,733,716,625",785,793,768,773,-9,"1,980"
22,102/02/01,"4,527,027","3,566,821,465",773,800,760,797,24,"4,002"
23,102/02/04,"2,011,288","1,605,636,248",801,804,791,796,-1,"1,826"
24,102/02/05,"2,869,475","2,306,839,225",791,820,785,814,18,"2,167"
25,102/02/06,"2,441,678","1,978,564,790",809,817,805,805,-9,"2,048"
26,102/02/18,"1,356,116","1,100,993,264",815,817,803,804,-1,"1,180"
27,102/02/19,"2,406,639","1,995,507,565",810,836,808,835,31,"2,152"
28,102/02/20,"1,559,194","1,301,537,020",840,845,828,828,-7,"1,442"
29,102/02/21,"2,115,457","1,735,051,713",828,836,806,809,-19,"1,802"
30,102/02/22,"1,386,915","1,124,242,320",812,817,807,807,-2,"1,169"
31,102/02/23,"697,109","565,239,399",814,816,807,811,4,627
32,102/02/25,"1,246,643","1,004,302,043",813,816,798,801,-10,"1,165"
33,102/02/26,"1,365,554","1,091,314,308",797,805,790,802,1,"1,148"
34,102/02/27,"1,336,571","1,067,641,774",805,808,793,800,-2,"1,159"
35,102/03/01,"2,023,642","1,650,680,514",805,824,803,817,17,"1,821"
36,102/03/04,"939,810","763,453,480",818,820,808,808,-9,854
37,102/03/05,"1,381,799","1,120,581,984",816,817,801,815,7,"1,171"
38,102/03/06,"3,977,539","3,127,065,888",803,809,770,772,-43,"3,258"
39,102/03/07,"3,165,947","2,420,919,137",772,780,755,764,-8,"2,744"
40,102/03/08,"1,688,973","1,311,189,210",770,786,764,764,0,"1,523"
41,102/03/11,"1,341,090","1,027,908,940",768,775,761,762,-2,"1,162"
42,102/03/12,"1,889,217","1,419,397,665",762,768,742,742,-20,"1,715"
43,102/03/13,"1,523,204","1,134,809,572",752,754,739,740,-2,"1,411"
44,102/03/14,"1,285,076","957,454,456",745,750,736,745,5,"1,113"
45,102/03/15,"2,800,423","2,157,045,517",754,785,752,779,34,"2,405"
46,102/03/18,"1,255,875","961,432,750",772,774,759,759,-20,"1,145"
47,102/03/19,"2,223,305","1,662,518,665",759,759,740,751,-8,"1,829"
48,102/03/20,"1,486,488","1,110,814,976",745,752,742,751,0,"1,190"
49,102/03/21,"1,125,227","850,581,839",755,762,751,751,0,995
50,102/03/22,"734,337","552,908,131",753,761,748,750,-1,683
51,102/03/25,"916,872","686,749,384",756,758,745,745,-5,877
52,102/03/26,"1,828,356","1,399,113,764",750,776,750,769,24,"1,622"
53,102/03/27,"1,879,672","1,457,777,504",770,789,765,782,13,"1,677"
54,102/03/28,"926,817","722,439,528",782,787,774,780,-2,857
55,102/03/29,"892,460","695,633,560",786,786,774,783,3,742
56,102/04/01,"620,796","481,122,492",783,783,772,772,-11,556
57,102/04/02,"836,446","638,861,298",765,768,758,763,-9,782
58,102/04/03,"830,535","642,229,230",765,778,765,778,15,733
59,102/04/08,"1,086,276","830,487,968",766,770,760,766,-12,997
60,102/04/09,"1,259,426","979,501,446",766,787,766,771,5,"1,166"
61,102/04/10,"1,123,743","874,357,054",779,784,771,778,7,"1,021"
62,102/04/11,"1,526,839","1,207,766,810",782,797,782,791,13,"1,367"
63,102/04/12,"1,514,919","1,173,994,982",788,788,765,772,-19,"1,282"
64,102/04/15,"1,441,806","1,094,481,232",770,772,747,765,-7,"1,250"
65,102/04/16,"892,539","671,040,796",760,760,747,755,-10,820
66,102/04/17,"1,061,085","797,871,005",758,763,745,746,-9,916
67,102/04/18,"1,972,671","1,425,107,566",731,735,710,722,-24,"1,736"
68,102/04/19,"3,311,735","2,377,389,550",710,727,710,716,-6,"2,858"
69,102/04/22,"2,230,706","1,591,622,790",716,722,706,708,-8,"2,002"
70,102/04/23,"2,923,882","2,051,461,400",708,715,696,696,-12,"2,502"
71,102/04/24,"1,673,737","1,182,547,744",702,711,702,706,10,"1,501"
72,102/04/25,"2,746,938","1,896,253,972",702,705,681,688,-18,"2,418"
73,102/04/26,"1,493,277","1,099,051,872",736,736,736,736,48,"1,148"
74,102/04/29,"6,029,834","4,722,514,358",786,787,774,787,51,"4,691"
75,102/04/30,"3,644,488","2,917,933,328",791,814,786,806,19,"3,214"
76,102/05/02,"1,778,485","1,434,955,365",806,812,797,812,6,"1,587"
77,102/05/03,"2,010,120","1,633,919,200",815,816,810,810,-2,"1,660"
78,102/05/06,"2,794,742","2,359,751,764",838,853,836,842,32,"2,365"
79,102/05/07,"1,266,741","1,062,077,699",843,846,833,840,-2,"1,178"
80,102/05/08,"1,043,263","876,923,446",845,845,833,842,2,947
81,102/05/09,"1,570,014","1,335,564,900",849,855,847,850,8,"1,314"
82,102/05/10,"862,516","726,731,988",835,845,835,845,-5,837
83,102/05/13,"1,080,661","900,930,664",845,845,827,827,-18,929
84,102/05/14,"1,348,632","1,134,256,936",827,850,827,850,23,"1,249"
85,102/05/15,"3,952,878","3,488,943,200",850,909,846,901,51,"3,441"
86,102/05/16,"3,143,324","2,960,196,096",910,959,910,957,56,"2,740"
87,102/05/17,"1,664,896","1,594,138,720",960,973,949,949,-8,"1,529"
88,102/05/20,"761,612","721,579,116",946,957,942,945,-4,685
