,Date,Open,High,Low,Close
0,107/01/02,"10,664.82","10,710.73","10,650.77","10,710.73"
1,107/01/03,"10,759.61","10,813.16","10,759.61","10,801.57"
2,107/01/04,"10,834.58","10,853.46","10,794.25","10,848.63"
3,107/01/05,"10,856.92","10,879.80","10,815.68","10,879.80"
4,107/01/08,"10,899.09","10,918.47","10,869.12","10,915.75"
5,107/01/09,"10,922.35","10,931.00","10,860.77","10,914.89"
6,107/01/10,"10,915.32","10,934.75","10,819.25","10,831.09"
7,107/01/11,"10,824.54","10,844.08","10,770.10","10,810.06"
8,107/01/12,"10,818.24","10,899.98","10,818.24","10,883.96"
9,107/01/15,"10,932.37","10,962.55","10,911.89","10,956.31"
10,107/01/16,"10,955.81","10,986.11","10,920.50","10,986.11"
11,107/01/17,"10,976.13","11,030.22","10,942.95","11,004.80"
12,107/01/18,"11,048.06","11,122.82","11,048.06","11,071.57"
13,107/01/19,"11,123.58","11,150.85","11,095.85","11,150.85"
14,107/01/22,"11,169.79","11,231.46","11,142.38","11,231.46"
15,107/01/23,"11,243.49","11,270.18","11,201.52","11,253.11"
16,107/01/24,"11,228.71","11,228.71","11,107.32","11,152.16"
17,107/01/25,"11,154.36","11,268.61","11,131.85","11,165.95"
18,107/01/26,"11,152.53","11,178.30","11,089.48","11,147.10"
19,107/01/29,"11,202.27","11,246.18","11,161.83","11,221.81"
20,107/01/30,"11,189.57","11,189.57","11,076.78","11,076.78"
21,107/01/31,"11,054.36","11,158.29","11,007.89","11,103.79"
22,107/02/01,"11,139.40","11,212.10","11,139.40","11,160.25"
23,107/02/02,"11,151.65","11,153.32","11,070.43","11,126.23"
24,107/02/05,"10,970.30","10,970.30","10,855.43","10,946.25"
25,107/02/06,"10,761.01","10,761.01","10,300.40","10,404.00"
26,107/02/07,"10,547.64","10,697.82","10,547.64","10,551.54"
27,107/02/08,"10,559.44","10,609.50","10,512.93","10,528.52"
28,107/02/09,"10,371.01","10,392.31","10,189.04","10,371.75"
29,107/02/12,"10,429.09","10,473.51","10,416.01","10,421.09"
30,107/02/21,"10,559.79","10,720.48","10,559.79","10,714.44"
31,107/02/22,"10,698.47","10,698.47","10,620.80","10,662.38"
32,107/02/23,"10,688.97","10,799.29","10,688.97","10,794.55"
33,107/02/26,"10,827.98","10,890.69","10,827.98","10,836.70"
34,107/02/27,"10,896.16","10,937.90","10,815.47","10,815.47"
35,107/03/01,"10,779.10","10,805.55","10,709.69","10,785.79"
36,107/03/02,"10,719.29","10,719.29","10,638.98","10,698.17"
37,107/03/05,"10,727.45","10,756.37","10,642.90","10,642.90"
38,107/03/06,"10,711.15","10,784.34","10,711.15","10,784.34"
39,107/03/07,"10,762.99","10,818.05","10,745.32","10,745.32"
40,107/03/08,"10,788.43","10,852.33","10,788.43","10,823.24"
41,107/03/09,"10,847.74","10,882.76","10,845.38","10,864.82"
42,107/03/12,"10,908.99","11,016.56","10,908.99","11,002.10"
43,107/03/13,"11,022.15","11,095.63","11,014.87","11,095.63"
44,107/03/14,"11,063.73","11,070.29","11,015.47","11,038.80"
45,107/03/15,"11,039.60","11,052.11","11,008.18","11,018.45"
46,107/03/16,"11,010.24","11,054.86","10,933.46","11,027.70"
47,107/03/19,"11,004.81","11,066.00","10,983.25","11,046.90"
48,107/03/20,"11,016.85","11,020.78","10,981.04","11,010.84"
49,107/03/21,"11,037.35","11,072.31","11,011.07","11,011.07"
50,107/03/22,"11,045.90","11,120.20","10,975.33","11,005.84"
51,107/03/23,"10,863.67","10,863.67","10,758.06","10,823.33"
52,107/03/26,"10,783.57","10,840.05","10,781.43","10,840.05"
53,107/03/27,"10,901.69","10,986.79","10,901.69","10,986.79"
54,107/03/28,"10,939.97","10,939.97","10,853.48","10,865.66"
55,107/03/29,"10,855.66","10,889.60","10,815.46","10,845.92"
56,107/03/30,"10,905.30","10,969.22","10,905.30","10,906.22"
57,107/03/31,"10,925.71","10,947.16","10,905.69","10,919.49"
58,107/04/02,"10,936.26","10,969.88","10,882.05","10,888.27"
